user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
143,1,79.05439785668581,0,2,2,0.12771612063505924,2030.0
144,1,53.08830247310446,0,2,1,0.04791057248652128,2030.0
145,1,94.48860970373802,0,5,0,0.4422693674763995,2030.0
146,0,303.58308279810245,0,4,4,0.16661790095117437,2030.0
147,0,0.0,0,0,2,0.4422693674763995,2030.0
148,1,85.81180011594591,0,3,2,0.04791057248652128,2030.0
149,1,126.84738143956348,0,3,2,0.4101152961354694,2030.0
150,1,2.0,0,2,4,0.0,2030.0
151,1,55.46495455427322,0,2,1,0.0,2030.0
152,1,586.0344019397676,0,4,5,0.4422693674763995,2030.0
153,1,77.66118047679396,0,2,2,0.12771612063505924,2030.0
154,0,72.42400389314614,0,1,1,0.0,2030.0
155,1,107.28824434695441,0,3,1,0.15028195043358747,2030.0
156,1,129.462288617754,0,3,1,0.0,2030.0
157,1,169.99587437207597,0,2,0,0.0,2030.0
158,1,128.04897343031612,0,3,1,0.07372022854805034,2030.0
159,1,81.49703958602943,0,2,2,0.0,2030.0
160,1,24.249693705554897,0,2,3,0.0,2030.0
161,1,289.9544855570437,0,2,3,0.0,2030.0
162,1,79.77214501957361,0,2,2,0.17039086635325718,2030.0
163,1,574.4419249504306,0,3,3,0.4422693674763995,2030.0
164,0,0.0,0,0,4,0.4422693674763995,2030.0
165,1,2.0,0,2,2,0.0,2030.0
166,1,773.1577194800971,0,5,2,0.4422693674763995,2030.0
167,0,153.6432367658275,0,3,5,0.0,2030.0
168,0,19.064658864263627,0,1,3,0.4422693674763995,2030.0
169,1,18.50292698231847,0,3,3,0.16661790095117437,2030.0
170,1,21.213568962291326,0,2,3,0.04791057248652128,2030.0
171,1,81.94539980353213,0,2,2,0.0,2030.0
172,1,219.9029969859588,0,3,4,0.4567944673872564,2030.0
173,1,56.85140628836409,0,2,1,0.22802339143911762,2030.0
174,1,2.0,0,2,4,0.005403235671645964,2030.0
175,1,141.6812295058952,0,2,1,0.10908553070588804,2030.0
176,1,176.47262270511845,0,3,4,0.4422693674763995,2030.0
177,1,141.11638829650133,0,2,0,0.005403235671645964,2030.0
178,1,6.19298458949784,0,2,0,0.4422693674763995,2030.0
179,1,144.47478789492237,0,2,0,0.0,2030.0
180,1,350.9604126614521,0,2,2,0.4422693674763995,2030.0
181,1,189.58293313017722,0,3,1,0.4422693674763995,2030.0
182,1,143.26840447555168,0,2,0,0.04791057248652128,2030.0
183,1,238.81170122640475,0,4,4,0.0,2030.0
184,1,55.602775677402065,0,2,1,0.28466026389013555,2030.0
185,0,140.821088805261,0,1,0,0.04291382053974471,2030.0
186,1,118.76692058643093,0,3,4,0.4422693674763995,2030.0
187,1,79.85257847993411,0,2,2,0.48046951251134107,2030.0
188,1,22.80636456013474,0,2,3,0.005403235671645964,2030.0
189,1,36.56267637479844,0,3,5,0.005403235671645964,2030.0
190,1,129.47290365791793,0,3,1,0.0,2030.0
191,1,35.10365325881733,0,2,5,0.0,2030.0
192,1,35.44657348651903,0,2,5,0.0,2030.0
193,1,143.89578252836975,0,2,0,0.0,2030.0
194,1,22.195838203319795,0,2,3,0.22802339143911762,2030.0
195,1,57.54878331402254,0,2,1,0.0,2030.0
196,1,79.66442187068299,0,2,2,0.22802339143911762,2030.0
197,0,725.096962811083,0,3,1,0.0,2030.0
198,1,347.8954903759905,0,5,3,0.0,2030.0
